"lat","lng","year","freq","city","state","state_code","mean_dur"
43.1031,-74.7749,2020,1,"dolgeville","new york","NY",2592000
43.1061,-76.2093,1987,1,"liverpool","new york","NY",172800
43.1061,-76.2093,2008,1,"liverpool","new york","NY",300
43.1061,-76.2093,2009,2,"liverpool","new york","NY",432150
43.1061,-76.2093,2010,1,"liverpool","new york","NY",60
43.1061,-76.2093,2011,1,"liverpool","new york","NY",NA
43.1061,-76.2093,2013,2,"liverpool","new york","NY",1980
43.1061,-76.2093,2014,2,"liverpool","new york","NY",1860
43.1061,-76.2093,2015,1,"liverpool","new york","NY",NA
43.1061,-76.2093,2016,1,"liverpool","new york","NY",1050
43.1061,-76.2093,2017,2,"liverpool","new york","NY",120
43.1061,-76.2093,2018,1,"liverpool","new york","NY",180
43.1061,-76.2093,2020,1,"liverpool","new york","NY",120
43.1065,-89.5058,2006,1,"middleton","wisconsin","WI",300
43.1065,-89.5058,2007,2,"middleton","wisconsin","WI",3240300
43.1065,-89.5058,2008,1,"middleton","wisconsin","WI",3240000
43.1065,-89.5058,2010,1,"middleton","wisconsin","WI",180
43.1065,-89.5058,2012,2,"middleton","wisconsin","WI",345600
43.1065,-89.5058,2013,1,"middleton","wisconsin","WI",60
43.1065,-89.5058,2014,2,"middleton","wisconsin","WI",1296150
43.1065,-89.5058,2019,1,"middleton","wisconsin","WI",60
43.1065,-89.5058,2020,1,"middleton","wisconsin","WI",3888000
43.1085,-88.0713,2014,1,"butler","wisconsin","WI",120
43.1085,-88.0713,2016,1,"butler","wisconsin","WI",2700
43.1124,-75.2739,2020,1,"yorkville","new york","NY",60
43.1132,-87.9004,2020,1,"whitefish bay","wisconsin","WI",420
43.1141,-124.4157,1984,1,"bandon","oregon","OR",NA
43.1141,-124.4157,2010,1,"bandon","oregon","OR",900
43.1141,-124.4157,2012,1,"bandon","oregon","OR",300
43.1141,-124.4157,2013,2,"bandon","oregon","OR",510
43.1141,-124.4157,2015,2,"bandon","oregon","OR",240
43.1141,-124.4157,2016,1,"bandon","oregon","OR",18000
43.1141,-124.4157,2019,1,"bandon","oregon","OR",1200
43.1141,-124.4157,2020,2,"bandon","oregon","OR",180
43.1145,-89.648,2019,2,"cross plains","wisconsin","WI",825
43.1146,-94.6799,2020,1,"emmetsburg","iowa","IA",1728000
43.1176,-83.6987,2009,1,"mount morris","michigan","MI",NA
43.1176,-83.6987,2015,1,"mount morris","michigan","MI",60
43.12,-123.4242,2013,1,"winston","oregon","OR",900
43.12,-123.4242,2015,1,"winston","oregon","OR",300
43.12,-123.4242,2020,2,"winston","oregon","OR",1500
43.124,-75.2966,2012,1,"whitesboro","new york","NY",180
43.1248,-86.1561,2014,1,"fruitport","michigan","MI",1296000
43.1248,-86.1561,2017,2,"fruitport","michigan","MI",1950
43.1264,-121.0495,1967,1,"silver lake","oregon","OR",60
43.1264,-121.0495,2012,1,"silver lake","oregon","OR",60
43.1266,-85.5582,1994,1,"rockford","michigan","MI",300
43.1266,-85.5582,2005,2,"rockford","michigan","MI",540300
43.1266,-85.5582,2008,1,"rockford","michigan","MI",1500
43.1266,-85.5582,2009,3,"rockford","michigan","MI",1296022.5
43.1266,-85.5582,2021,1,"rockford","michigan","MI",NA
43.1277,-82.7973,2019,1,"yale","michigan","MI",300
43.1282,-92.7402,2011,1,"floyd","iowa","IA",1800
43.1283,-93.4621,2009,1,"ventura","iowa","IA",60
43.13,-94.8984,2011,1,"ruthven","iowa","IA",180
43.1301,-96.4556,2010,1,"hudson","south dakota","SD",1800
43.1324,-115.6972,2005,1,"mountain home","idaho","ID",300
43.1324,-115.6972,2010,1,"mountain home","idaho","ID",648000
43.1324,-115.6972,2011,1,"mountain home","idaho","ID",30
43.1324,-115.6972,2012,1,"mountain home","idaho","ID",3
43.1324,-115.6972,2013,1,"mountain home","idaho","ID",120
43.1324,-115.6972,2015,9,"mountain home","idaho","ID",1516946.66666667
43.1324,-115.6972,2016,2,"mountain home","idaho","ID",216090
43.1324,-115.6972,2018,1,"mountain home","idaho","ID",120
43.1324,-115.6972,2019,1,"mountain home","idaho","ID",NA
43.1324,-115.6972,2020,2,"mountain home","idaho","ID",135
43.1339,-76.1306,2016,1,"north syracuse","new york","NY",2592000
43.1341,-88.2232,2012,1,"sussex","wisconsin","WI",210
43.1341,-88.2232,2019,1,"sussex","wisconsin","WI",300
43.1346,-93.374,2012,1,"clear lake","iowa","IA",600
43.1346,-93.374,2018,1,"clear lake","iowa","IA",3600
43.1346,-93.374,2020,1,"clear lake","iowa","IA",345600
43.1391,-72.5101,2010,1,"saxtons river","vermont","VT",5184000
43.1391,-72.5101,2019,1,"saxtons river","vermont","VT",7776000
43.1423,-88.3088,2009,1,"merton","wisconsin","WI",60
43.1423,-88.3088,2012,1,"merton","wisconsin","WI",240
43.1426,-100.9028,2019,1,"st. francis","south dakota","SD",NA
43.1435,-90.6951,2010,1,"boscobel","wisconsin","WI",NA
43.1435,-90.6951,2019,1,"boscobel","wisconsin","WI",600
43.1435,-90.6951,2020,1,"boscobel","wisconsin","WI",600
43.1435,-84.1684,2014,1,"oakley","michigan","MI",150
43.1435,-70.649,2020,1,"york harbor","maine","ME",2640
43.1451,-78.8777,2007,1,"sanborn","new york","NY",NA
43.1451,-78.8777,2016,1,"sanborn","new york","NY",600
43.1468,-95.1534,2007,1,"spencer","iowa","IA",360
43.1468,-95.1534,2009,2,"spencer","iowa","IA",2250
43.1468,-95.1534,2011,1,"spencer","iowa","IA",2592000
43.1468,-95.1534,2020,1,"spencer","iowa","IA",2100
43.1469,-91.7646,2016,1,"ossian","iowa","IA",432000
43.1481,-97.7199,2011,1,"scotland","south dakota","SD",NA
43.1487,-93.1998,1982,1,"mason city","iowa","IA",60
43.1487,-93.1998,2012,2,"mason city","iowa","IA",180
43.1487,-93.1998,2013,1,"mason city","iowa","IA",180
43.1487,-93.1998,2014,2,"mason city","iowa","IA",480
43.1487,-88.1227,2011,1,"menomonee falls","wisconsin","WI",2100
43.1487,-88.1227,2012,1,"menomonee falls","wisconsin","WI",300
43.1487,-88.1227,2013,1,"menomonee falls","wisconsin","WI",7776000
43.1487,-88.1227,2017,2,"menomonee falls","wisconsin","WI",432030
43.1487,-88.1227,2020,4,"menomonee falls","wisconsin","WI",675
43.1522,-88.1604,2014,1,"lannon","wisconsin","WI",6480000
43.1545,-75.9734,2007,1,"bridgeport","new york","NY",300
43.1545,-75.9734,2013,1,"bridgeport","new york","NY",NA
43.1567,-83.4069,2015,1,"columbiaville","michigan","MI",3600
43.157,-76.3318,1973,1,"baldwinsville","new york","NY",1050
43.157,-76.3318,2012,1,"baldwinsville","new york","NY",518400
43.157,-76.3318,2013,3,"baldwinsville","new york","NY",220
43.157,-76.3318,2014,1,"baldwinsville","new york","NY",300
43.157,-76.3318,2015,2,"baldwinsville","new york","NY",216030
43.157,-76.3318,2016,2,"baldwinsville","new york","NY",1050
43.157,-76.3318,2018,2,"baldwinsville","new york","NY",216030
43.157,-76.3318,2019,1,"baldwinsville","new york","NY",2250
43.1577,-92.5911,2014,1,"colwell","iowa","IA",300
43.1621,-86.2519,2015,2,"norton shores","michigan","MI",210
