Date.Time,City,State,Shape,Duration,Summary,Posted,Country,pop,lat,long,capital
2012-09-06,Beeton,ON,Teardrop,561600.0,Tear drop shaped gold colored object travelling silintly at high speed in a linear west to east direction seen by my wife and I,2012-10-30,Canada,4088,44.11,-79.79,0
2012-09-04,Cochrane,ON,Unknown,,Bright light blinking on south side of town every 3-4 minutes for about a half an hour while remaining in same location in sky.,2012-09-24,Canada,4463,49.07,-81.02,0
2012-09-02,London,ON,Light,120.0,Witnessed two seperate orange/red lights above north London Ontario.,2012-09-24,Canada,348681,42.97,-81.24,0
2012-09-02,London,ON,Fireball,300.0,Reddish- Orange floating orbs in London Ontario,2012-09-24,Canada,348681,42.97,-81.24,0
2012-09-02,London,ON,Circle,120.0,My wider and I were sitting on the couch watching tv and we had our backdoor open when we noticed 3 orangey red ball shaped moving quic,2012-09-24,Canada,348681,42.97,-81.24,0
2012-08-27,Timmins,ON,Fireball,216000.0,Saw a red orange object with red orange and blue trailer flame behind it.,2012-09-24,Canada,33319,48.49,-81.35,0
2012-08-25,Bradford,ON,Fireball,300.0,We saw 2 bright orange lights in the sky.  They were low and very silent and moving very fast.  Almost appeared to  be a fire.,2012-09-24,Canada,19278,44.12,-79.56,0
2012-08-18,Timmins,ON,,864000.0,Green flashing orb trails across sky and slips out of sight behind treeline.,2012-08-19,Canada,33319,48.49,-81.35,0
2012-08-18,Barrie,ON,Sphere,180.0,"Bright orange spheres seen over the night sky in Barrie, Ontario, Canada",2012-08-19,Canada,198492,44.38,-79.68,0
2012-08-18,Port Hope,ON,Oval,180.0,"Orange Oval flame radiating in night sky started small got larger and closer, 3 min past no sound left high rate of speed NE 401",2012-09-24,Canada,11758,43.96,-78.3,0
2012-08-18,London,ON,Circle,450.0,Reddish object from the north slowy went east and then 10 min. later it happened again.,2012-09-24,Canada,348681,42.97,-81.24,0
