"lat","lng","freq","city","state","state_code","mean_dur"
39.0345,-104.2994,2,"calhan","colorado","CO",180
39.0346,-95.6955,51,"topeka","kansas","KS",260871.348837209
39.0355,-84.4567,1,"highland heights","kentucky","KY",3000
39.0356,-87.1586,3,"linton","indiana","IN",1340
39.0358,-95.3929,1,"lecompton","kansas","KS",259200
39.0388,-94.7688,1,"lake quivira","kansas","KS",120
39.0392,-122.9218,8,"lakeport","california","CA",939135
39.0392,-80.4618,3,"weston","west virginia","WV",576320
39.0394,-76.9211,3,"beltsville","maryland","MD",320
39.0405,-90.1408,1,"brighton","illinois","IL",600
39.0416,-89.9512,1,"bunker hill","illinois","IL",259200
39.042,-76.0631,5,"centreville","maryland","MD",11595
39.0429,-75.5714,1,"viola","delaware","DE",120
39.0433,-76.9906,1,"white oak","maryland","MD",300
39.0433,-76.4471,1,"cape st. claire","maryland","MD",259200
39.0437,-76.4974,5,"arnold","maryland","MD",760452
39.0437,-74.7687,3,"stone harbor","new jersey","NJ",520
39.046,-82.6492,13,"jackson","ohio","OH",194104.615384615
39.0462,-84.5362,4,"fort wright","kentucky","KY",525
39.0492,-77.0572,6,"wheaton","maryland","MD",100890
39.0516,-76.5746,1,"herald harbor","maryland","MD",1800
39.0531,-84.8572,1,"petersburg","kentucky","KY",NA
39.0556,-84.0478,6,"williamsburg","ohio","OH",260420
39.057,-88.7474,1,"altamont","illinois","IL",NA
39.0585,-98.5379,1,"lucas","kansas","KS",3600
39.0617,-81.3977,3,"elizabeth","west virginia","WV",374560
39.0626,-84.709,1,"hebron","kentucky","KY",864000
39.0628,-84.2808,1,"withamsville","ohio","OH",1200
39.0636,-85.2564,1,"versailles","indiana","IN",1200
39.0649,-82.9985,1,"piketon","ohio","OH",120
39.0656,-84.595,3,"villa hills","kentucky","KY",289240
39.0661,-76.6939,4,"odenton","maryland","MD",285
39.0671,-79.8144,1,"montrose","west virginia","WV",NA
39.0677,-84.9046,4,"aurora","indiana","IN",1970
39.0689,-96.167,1,"paxico","kansas","KS",1200
39.0694,-89.8553,2,"wilsonville","illinois","IL",165
39.0697,-122.776,1,"lucerne","california","CA",60
39.07,-92.9473,1,"arrow rock","missouri","MO",5400
39.0714,-75.476,1,"magnolia","delaware","DE",120
39.0716,-107.191,1,"marble","colorado","CO",300
39.0735,-104.8467,8,"monument","colorado","CO",302636.25
39.0763,-108.4606,3,"clifton","colorado","CO",460
39.0765,-94.8166,1,"edwardsville","kansas","KS",5
39.0771,-85.716,3,"scipio","indiana","IN",8100
39.079,-74.8207,3,"cape may court house","new jersey","NJ",1296200
39.0802,-84.4518,1,"fort thomas","kentucky","KY",300
39.0802,-84.322,1,"cherry grove","ohio","OH",60
39.0815,-84.1718,14,"batavia","ohio","OH",796686.428571429
39.0817,-121.5549,4,"olivehurst","california","CA",270
39.0834,-77.1552,21,"rockville","maryland","MD",495093.333333333
39.0855,-84.4868,1,"newport","kentucky","KY",2100
39.087,-76.5687,6,"severna park","maryland","MD",155808
39.0871,-94.3501,42,"independence","missouri","MO",552933.888888889
39.0876,-108.5673,82,"grand junction","colorado","CO",507863.87755102
39.0902,-78.223,8,"stephens city","virginia","VA",406087.5
39.0904,-84.5498,1,"ludlow","kentucky","KY",900
39.0906,-74.7357,7,"avalon","new jersey","NJ",865114.285714286
39.0913,-111.1337,1,"ferron","utah","UT",360
39.0929,-76.6512,3,"gambrills","maryland","MD",1360
39.093,-89.8023,1,"benld","illinois","IL",2700
39.0933,-78.0601,1,"boyce","virginia","VA",864000
39.0938,-120.9533,1,"colfax","california","CA",600
39.0942,-79.6786,2,"parsons","west virginia","WV",3660
39.095,-76.8622,15,"laurel","maryland","MD",266882.5
39.0955,-77.2372,1,"north potomac","maryland","MD",120
39.0986,-84.8713,2,"lawrenceburg","indiana","IN",150.5
39.0991,-75.557,3,"camden","delaware","DE",864300
39.0993,-95.8564,2,"silver lake","kansas","KS",86460
39.1011,-84.4776,1,"bellevue","kentucky","KY",120
39.1058,-77.5544,18,"leesburg","virginia","VA",1197916.66666667
39.1058,-76.7438,1,"fort meade","maryland","MD",172800
39.1065,-76.9993,1,"cloverly","maryland","MD",432000
39.1083,-108.3573,2,"palisade","colorado","CO",90
39.1083,-95.0829,1,"tonganoxie","kansas","KS",600
39.1095,-121.3543,2,"beale afb","california","CA",180
39.1111,-96.8138,3,"fort riley","kansas","KS",1411240
39.1117,-100.3616,1,"park","kansas","KS",NA
39.1127,-96.7028,1,"ogden","kansas","KS",600
39.1136,-77.1509,2,"derwood","maryland","MD",240
39.1143,-100.4684,1,"grainfield","kansas","KS",300
39.1147,-93.201,8,"marshall","missouri","MO",496208.571428571
39.1147,-75.5631,2,"wyoming","delaware","DE",600
39.1151,-98.6922,2,"luray","kansas","KS",2700
39.1152,-104.9057,3,"palmer lake","colorado","CO",561690
39.1166,-76.9356,3,"burtonsville","maryland","MD",840
39.1172,-82.5375,1,"wellston","ohio","OH",2592000
39.1175,-90.3271,3,"jerseyville","illinois","IL",230440
39.1196,-92.2268,1,"hallsville","missouri","MO",180
39.1207,-88.5508,4,"effingham","illinois","IL",288360
39.1234,-100.8451,1,"oakley","kansas","KS",900
39.1234,-94.7443,33,"kansas city","kansas","KS",636937.24137931
39.1239,-94.5541,93,"kansas city","missouri","MO",697101.776315789
39.1242,-84.1366,1,"owensville","ohio","OH",300
39.1243,-97.6997,1,"minneapolis","kansas","KS",120
39.1243,-84.3516,1,"newtown","ohio","OH",864000
39.1256,-82.9836,8,"waverly","ohio","OH",54557.5
39.1266,-122.8526,1,"nice","california","CA",900
39.1266,-79.4609,1,"davis","west virginia","WV",600
39.1291,-85.292,1,"osgood","indiana","IN",18000
39.1319,-77.7681,1,"round hill","virginia","VA",172800
39.1332,-94.9333,1,"basehor","kansas","KS",10800
39.1336,-94.1929,1,"buckner","missouri","MO",720
39.1346,-77.2132,20,"gaithersburg","maryland","MD",464527.894736842
39.1355,-76.6958,7,"severn","maryland","MD",188.571428571429
39.1357,-121.6381,14,"yuba city","california","CA",199883.076923077
39.1358,-95.9496,2,"rossville","kansas","KS",1296030
39.1362,-103.4731,1,"hugo","colorado","CO",180
39.1362,-75.7667,1,"templeville","maryland","MD",300
39.1378,-77.7109,5,"purcellville","virginia","VA",518736
39.1383,-93.9861,1,"wellington","missouri","MO",3
39.1396,-94.5643,2,"north kansas city","missouri","MO",210
39.1396,-92.458,3,"harrisburg","missouri","MO",432820
39.1408,-104.0824,1,"simla","colorado","CO",300
39.1413,-84.5061,121,"cincinnati","ohio","OH",272609.81981982
39.1421,-94.4018,1,"sugar creek","missouri","MO",120
39.1423,-77.4102,2,"poolesville","maryland","MD",649800
39.1429,-84.3784,1,"mariemont","ohio","OH",720
39.1463,-123.2105,18,"ukiah","california","CA",492664
39.1465,-77.0715,2,"olney","maryland","MD",135000
39.1485,-76.8228,1,"savage","maryland","MD",1296000
39.1487,-80.0418,4,"philippi","west virginia","WV",750
39.1498,-122.1389,3,"williams","california","CA",1800
39.1504,-77.9824,2,"berryville","virginia","VA",150
39.1512,-119.7474,29,"carson city","nevada","NV",402457.153846154
39.1518,-121.5835,15,"marysville","california","CA",491100
39.1523,-74.6976,3,"sea isle city","new jersey","NJ",1188150
39.1549,-108.7307,7,"fruita","colorado","CO",936340
39.1552,-76.5537,22,"pasadena","maryland","MD",288327.142857143
39.1559,-76.6072,11,"glen burnie","maryland","MD",576330
39.1577,-84.6139,1,"cheviot","ohio","OH",180
39.1605,-84.4535,2,"norwood","ohio","OH",570
39.161,-75.5203,18,"dover","delaware","DE",324889.285714286
39.1622,-97.886,1,"ada","kansas","KS",900
39.1625,-91.8711,4,"mexico","missouri","MO",1080978.75
39.1627,-80.3484,2,"lost creek","west virginia","WV",1944450
39.1635,-84.7469,1,"cleves","ohio","OH",NA
39.1637,-86.5257,23,"bloomington","indiana","IN",1708324.88095238
39.1653,-122.9052,2,"upper lake","california","CA",3600
39.1659,-88.3776,2,"montrose","illinois","IL",675
39.1662,-79.6987,2,"st. george","west virginia","WV",450
39.1668,-89.4735,1,"hillsboro","illinois","IL",NA
39.1683,-90.7879,1,"elsberry","missouri","MO",1200
39.1684,-75.7127,2,"hartly","delaware","DE",648150
39.1699,-84.2811,5,"milford","ohio","OH",449664
39.1731,-96.9103,1,"milford","kansas","KS",60
39.1735,-78.1746,18,"winchester","virginia","VA",145675
39.1755,-77.2643,12,"germantown","maryland","MD",489940
39.1758,-94.2009,1,"sibley","missouri","MO",3600
39.1767,-85.5747,1,"westport","indiana","IN",300
39.1783,-77.1957,1,"montgomery village","maryland","MD",90
39.1791,-87.3971,1,"shelburn","indiana","IN",300
39.1798,-93.8694,1,"lexington","missouri","MO",600
39.1814,-76.957,1,"highland","maryland","MD",300
39.1856,-84.3734,1,"madeira","ohio","OH",1728000
39.1886,-96.6046,8,"manhattan","kansas","KS",43695
39.1922,-84.7245,1,"grandview","ohio","OH",1800
39.1941,-76.7427,5,"elkridge","maryland","MD",87516
39.1942,-96.0643,1,"st. marys","kansas","KS",300
39.195,-106.8369,5,"aspen","colorado","CO",487380
39.1954,-121.1942,6,"penn valley","california","CA",220990
39.1959,-89.6295,2,"litchfield","illinois","IL",129750
39.1961,-95.2083,1,"mclouth","kansas","KS",300
39.2004,-94.7222,2,"parkville","missouri","MO",510
39.2004,-76.859,22,"columbia","maryland","MD",445475.294117647
39.2039,-84.3977,3,"deer park","ohio","OH",1250
39.205,-93.4427,1,"grand pass","missouri","MO",4
39.2053,-89.4054,1,"irving","illinois","IL",600
39.2054,-96.31,2,"wamego","kansas","KS",47.5
39.2059,-122.0125,1,"colusa","california","CA",18000
39.2067,-81.1544,1,"cairo","west virginia","WV",NA
39.2079,-86.2383,3,"nashville","indiana","IN",864280
39.2088,-76.6625,4,"linthicum","maryland","MD",540
39.2093,-85.9183,6,"columbus","indiana","IN",432285
39.2104,-81.0485,1,"harrisville","west virginia","WV",120
39.2105,-92.1341,4,"centralia","missouri","MO",3817.5
39.2123,-84.3001,1,"miamiville","ohio","OH",60
39.2123,-83.6112,6,"hillsboro","ohio","OH",58520
39.2133,-94.5593,6,"gladstone","missouri","MO",44795
39.217,-76.6174,2,"brooklyn park","maryland","MD",570
39.2173,-84.403,1,"dillonvale","ohio","OH",345600
39.2182,-76.0714,4,"chestertown","maryland","MD",1081830
39.2189,-104.5403,2,"elbert","colorado","CO",1296300
39.2207,-106.9386,3,"snowmass village","colorado","CO",3690
39.2211,-77.3799,1,"barnesville","maryland","MD",7200
39.2227,-93.065,1,"slater","missouri","MO",120
39.2237,-121.0521,27,"grass valley","california","CA",394022.44
39.2243,-84.4333,2,"reading","ohio","OH",360
39.2245,-105.9965,1,"fairplay","colorado","CO",2592000
39.2245,-82.1977,3,"albany","ohio","OH",172800
39.2257,-88.4945,1,"sigel","illinois","IL",900
