"","City","State","Sightings","Airport Count"
"561","Martinsburg","WV",23,1
"562","Muskegon","MI",23,1
"563","Newark","OH",23,0
"564","North Charleston","SC",23,0
"565","Norwalk","CA",23,0
"566","Pasco","WA",23,1
"567","Provo","UT",23,1
"568","Stamford","CT",23,0
"569","State College","PA",23,0
"570","Waco","TX",23,2
"571","Anderson","SC",22,0
"572","Burnsville","MN",22,0
"573","Canton","GA",22,0
"574","Captiva","FL",22,0
"575","Centennial","CO",22,0
"576","Chillicothe","OH",22,0
"577","Columbia","MD",22,0
"578","Covina","CA",22,0
"579","Dover","NH",22,0
"580","Gila Bend","AZ",22,1
"581","Green Valley","AZ",22,0
"582","Hamilton","OH",22,1
"583","Lawton","OK",22,1
"584","Levittown","NY",22,0
"585","Livermore","CA",22,1
"586","Manteca","CA",22,0
"587","Miami Beach","FL",22,0
"588","Moses Lake","WA",22,0
"589","Murrells Inlet","SC",22,0
"590","Nags Head","NC",22,0
"591","Noblesville","IN",22,0
"592","Oak Harbor","WA",22,0
"593","Oshkosh","WI",22,1
"594","Owasso","OK",22,0
"595","Pasadena","MD",22,0
"596","Pembroke Pines","FL",22,0
"597","Russellville","AR",22,0
"598","Seaside","OR",22,0
"599","Shelton","WA",22,1
"600","Turlock","CA",22,0
"601","Vallejo","CA",22,0
"602","Wilkes-Barre","PA",22,1
"603","Atlantic City","NJ",21,1
"604","Bemidji","MN",21,1
"605","Bridgewater","MA",21,0
"606","Carolina Beach","NC",21,0
"607","Cathedral City","CA",21,0
"608","Costa Mesa","CA",21,0
"609","Davenport","FL",21,0
"610","Davenport","IA",21,0
"611","Dearborn","MI",21,0
"612","Duluth","GA",21,0
"613","Fargo","ND",21,1
"614","Farmington","NM",21,1
"615","Georgetown","TX",21,1
"616","Highlands Ranch","CO",21,0
"617","Joplin","MO",21,1
"618","Layton","UT",21,0
"619","Macon","GA",21,2
"620","Massillon","OH",21,0
"621","Merritt Island","FL",21,0
"622","Mooresville","NC",21,0
"623","New Braunfels","TX",21,0
"624","Norris City","IL",21,0
"625","Oakley","CA",21,0
"626","Ocean Isle Beach","NC",21,0
"627","Palm Harbor","FL",21,0
"628","Pawtucket","RI",21,0
"629","Pleasanton","CA",21,0
"630","Post Falls","ID",21,0
"631","Rockville","MD",21,0
"632","Shoreline","WA",21,0
"633","Springdale","AR",21,0
"634","St. Cloud","MN",21,0
"635","Sunrise","FL",21,0
"636","Traverse City","MI",21,1
"637","Valley City","ND",21,0
"638","Washougal","WA",21,0
"639","Waukesha","WI",21,0
"640","Weston","FL",21,0
"641","Williamsburg","VA",21,1
"642","Winter Haven","FL",21,1
"643","Youngstown","OH",21,1
"644","Ames","IA",20,0
"645","Bear","DE",20,0
"646","Biloxi","MS",20,1
"647","Castro Valley","CA",20,0
"648","Centralia","WA",20,0
"649","Concord","NC",20,1
"650","Delaware","OH",20,0
"651","Dunedin","FL",20,0
"652","Encinitas","CA",20,0
"653","Folsom","CA",20,0
"654","Gaithersburg","MD",20,1
"655","Goleta","CA",20,0
"656","Hilliard","OH",20,0
"657","Kenner","LA",20,0
"658","Kihei","HI",20,0
"659","Lahaina","HI",20,0
"660","Lakeside","CA",20,0
"661","Lehigh Acres","FL",20,0
"662","Livonia","MI",20,0
"663","Lodi","CA",20,0
"664","Lynchburg","VA",20,1
"665","Mount Vernon","WA",20,0
"666","New Bern","NC",20,1
"667","New Haven","CT",20,1
"668","Palmer","AK",20,1
"669","Parker","CO",20,0
"670","Pinellas Park","FL",20,0
"671","Redmond","OR",20,0
"672","Rolla","MO",20,0
"673","Rutland","VT",20,1
"674","Santa Clara","CA",20,0
"675","Sierra Vista","AZ",20,0
"676","Slidell","LA",20,0
"677","Stuart","FL",20,1
"678","Towson","MD",20,0
"679","Woodbury","MN",20,0
"680","Aliquippa","PA",19,0
"681","Anderson","CA",19,0
"682","Ashburn","VA",19,0
"683","Auburn","NY",19,0
"684","Bloomington","MN",19,0
"685","Buford","GA",19,0
"686","Campbell","CA",19,0
"687","Cape Girardeau","MO",19,1
"688","Carlsbad","NM",19,1
"689","Chino","CA",19,1
"690","Cocoa","FL",19,0
"691","Crystal Lake","IL",19,0
"692","Easley","SC",19,0
"693","Elgin","IL",19,0
"694","Emerald Isle","NC",19,0
"695","Florissant","MO",19,0
"696","Fond du Lac","WI",19,1
"697","Fulton","NY",19,1
"698","Gloucester","MA",19,0
"699","Hendersonville","NC",19,0
"700","Hesperia","CA",19,0
"701","Keizer","OR",19,0
"702","Kuna","ID",19,0
"703","Lakewood","CA",19,0
"704","Lebanon","OR",19,0
"705","Lincoln","CA",19,1
"706","Lombard","IL",19,0
"707","Malibu","CA",19,0
"708","Mansfield","OH",19,1
"709","McMinnville","OR",19,0
"710","Minnetonka","MN",19,0
"711","Mountain Home","ID",19,1
"712","Mukwonago","WI",19,0
"713","New Britain","CT",19,0
"714","San Marcos","TX",19,1
"715","Star Valley","AZ",19,0
"716","Tuscaloosa","AL",19,0
"717","Upland","CA",19,1
"718","Victorville","CA",19,1
"719","Westminster","CA",19,0
"720","Williamsport","PA",19,1
"721","Alamogordo","NM",18,2
"722","Altoona","PA",18,1
"723","Apex","NC",18,0
"724","Arlington Heights","IL",18,0
"725","Arnold","MO",18,0
"726","Astoria","OR",18,1
"727","Auburn","CA",18,0
"728","Brighton","MI",18,0
"729","Burien","WA",18,0
"730","Clifton","NJ",18,0
"731","Coos Bay","OR",18,0
"732","Dana Point","CA",18,0
"733","Danville","VA",18,1
"734","Dothan","AL",18,1
"735","Dover","DE",18,1
"736","Downey","CA",18,0
