"state","year","freq","state_code","mean_dur"
"florida",1961,2,"FL",210
"florida",1963,2,"FL",2100
"florida",1964,2,"FL",1575
"florida",1965,3,"FL",2400
"florida",1966,2,"FL",900
"florida",1967,4,"FL",320
"florida",1968,3,"FL",675
"florida",1969,5,"FL",288200
"florida",1970,4,"FL",740
"florida",1971,2,"FL",960
"florida",1972,4,"FL",390
"florida",1973,2,"FL",7725
"florida",1974,4,"FL",252000
"florida",1975,4,"FL",217080
"florida",1976,9,"FL",670
"florida",1977,5,"FL",294462
"florida",1978,3,"FL",3950
"florida",1979,5,"FL",486
"florida",1980,4,"FL",120
"florida",1981,8,"FL",371065.714285714
"florida",1982,2,"FL",37.5
"florida",1983,3,"FL",300
"florida",1984,5,"FL",810
"florida",1985,12,"FL",377329.090909091
"florida",1986,5,"FL",648420
"florida",1987,5,"FL",450
"florida",1988,4,"FL",90
"florida",1989,3,"FL",504100
"florida",1990,3,"FL",900
"florida",1991,3,"FL",864400
"florida",1992,1,"FL",300
"florida",1993,2,"FL",360
"florida",1994,7,"FL",259552
"florida",1995,7,"FL",864330
"florida",1996,6,"FL",1008355
"florida",1997,15,"FL",420652.8
"florida",1998,11,"FL",275918.636363636
"florida",1999,5,"FL",108062.5
"florida",2000,8,"FL",63081.4285714286
"florida",2001,9,"FL",446.25
"florida",2002,8,"FL",864162.857142857
"florida",2003,8,"FL",765480
"florida",2004,19,"FL",298401.176470588
"florida",2005,22,"FL",347430
"florida",2006,158,"FL",325254.417910448
"florida",2007,227,"FL",404093.898550725
"florida",2008,272,"FL",332942.353909465
"florida",2009,224,"FL",417157.056097561
"florida",2010,203,"FL",258337.878306878
"florida",2011,307,"FL",372034.833333333
"florida",2012,410,"FL",401577.534246575
"florida",2013,497,"FL",361897.991071429
"florida",2014,579,"FL",399841.575875486
"florida",2015,414,"FL",429077.843243243
"florida",2016,319,"FL",466267.103942652
"florida",2017,289,"FL",2937785.09885932
"florida",2018,205,"FL",366146.034482759
"florida",2019,363,"FL",614537.22027972
"florida",2020,356,"FL",311687.137931034
"florida",2021,28,"FL",173781.666666667
"florida",NA,40,"FL",77133.64
"georgia",1942,1,"GA",150
"georgia",1958,3,"GA",190
"georgia",1962,1,"GA",180
"georgia",1963,1,"GA",1200
"georgia",1964,3,"GA",540
"georgia",1967,4,"GA",570
"georgia",1968,6,"GA",780
"georgia",1969,2,"GA",307.5
"georgia",1971,3,"GA",950
"georgia",1972,4,"GA",90
"georgia",1973,2,"GA",750
"georgia",1974,2,"GA",240
"georgia",1975,3,"GA",72420
"georgia",1976,2,"GA",195
"georgia",1977,1,"GA",2592000
"georgia",1978,1,"GA",432000
"georgia",1979,1,"GA",1944000
"georgia",1980,2,"GA",1296600
"georgia",1983,1,"GA",60
"georgia",1984,7,"GA",993684
"georgia",1985,1,"GA",1800
"georgia",1986,4,"GA",43335
"georgia",1988,1,"GA",180
"georgia",1989,2,"GA",432120
"georgia",1990,4,"GA",140
"georgia",1991,3,"GA",110
"georgia",1992,1,"GA",300
"georgia",1993,1,"GA",NA
"georgia",1994,1,"GA",1296000
"georgia",1995,4,"GA",547600
"georgia",1996,3,"GA",864120
"georgia",1997,1,"GA",120
"georgia",1998,2,"GA",420
"georgia",1999,1,"GA",300
"georgia",2000,4,"GA",432112.5
"georgia",2001,7,"GA",115600
"georgia",2002,4,"GA",577600
"georgia",2003,6,"GA",1230
"georgia",2004,6,"GA",158565
"georgia",2005,8,"GA",680677.5
"georgia",2006,63,"GA",504098.727272727
"georgia",2007,94,"GA",295898.522727273
"georgia",2008,94,"GA",248254.130952381
"georgia",2009,82,"GA",407208.760273973
"georgia",2010,64,"GA",397581.538461538
"georgia",2011,89,"GA",311109.9625
"georgia",2012,119,"GA",295478.844036697
"georgia",2013,133,"GA",461383.983050847
"georgia",2014,212,"GA",447709.047619048
"georgia",2015,125,"GA",563261.578947368
"georgia",2016,116,"GA",263074.615384615
"georgia",2017,109,"GA",492425.684210526
"georgia",2018,67,"GA",308719.523809524
"georgia",2019,146,"GA",590217.980769231
"georgia",2020,119,"GA",279103.012048193
"georgia",2021,8,"GA",72380
"georgia",NA,16,"GA",61659
"hawaii",1966,1,"HI",330
"hawaii",1967,1,"HI",8
"hawaii",1973,2,"HI",864150
"hawaii",1977,1,"HI",600
"hawaii",1980,1,"HI",390
"hawaii",1985,1,"HI",2700
"hawaii",1990,1,"HI",3600
"hawaii",1993,1,"HI",5400
"hawaii",1994,1,"HI",60
"hawaii",1995,2,"HI",864300
"hawaii",1997,2,"HI",2850
"hawaii",2000,2,"HI",3630
"hawaii",2002,1,"HI",NA
"hawaii",2006,8,"HI",23265
"hawaii",2007,15,"HI",486470
"hawaii",2008,10,"HI",317073.333333333
"hawaii",2009,17,"HI",246413.076923077
"hawaii",2010,24,"HI",120808.043478261
"hawaii",2011,19,"HI",81834.375
"hawaii",2012,27,"HI",551985
"hawaii",2013,34,"HI",305693.823529412
"hawaii",2014,50,"HI",388493.571428571
"hawaii",2015,20,"HI",422826.666666667
"hawaii",2016,22,"HI",488724
"hawaii",2017,11,"HI",1426470
"hawaii",2018,7,"HI",50074.2857142857
